book_number,title,author,language,genres,plain_text_url
5282,"The Tales and Novels, v9: Belphegor and Others","La Fontaine, Jean de, 1621-1695",English,"['Short Stories', 'Humour', 'French Literature']",https://www.gutenberg.org/ebooks/5282.txt.utf-8
5283,Tales and Novels of J. de La Fontaine — Volume 09,"La Fontaine, Jean de, 1621-1695",English,"['Short Stories', 'French Literature']",https://www.gutenberg.org/ebooks/5283.txt.utf-8
5284,Tales and Novels of J. de La Fontaine — Volume 10,"La Fontaine, Jean de, 1621-1695",English,"['Short Stories', 'Humour', 'French Literature']",https://www.gutenberg.org/ebooks/5284.txt.utf-8
5285,Tales and Novels of J. de La Fontaine — Volume 11,"La Fontaine, Jean de, 1621-1695",English,"['Short Stories', 'Humour', 'French Literature']",https://www.gutenberg.org/ebooks/5285.txt.utf-8
5286,Tales and Novels of J. de La Fontaine — Volume 12,"La Fontaine, Jean de, 1621-1695",English,"['Short Stories', 'Humour', 'French Literature']",https://www.gutenberg.org/ebooks/5286.txt.utf-8
5287,Tales and Novels of J. de La Fontaine — Volume 13,"La Fontaine, Jean de, 1621-1695",English,"['Short Stories', 'French Literature']",https://www.gutenberg.org/ebooks/5287.txt.utf-8
5288,Tales and Novels of J. de La Fontaine — Volume 14,"La Fontaine, Jean de, 1621-1695",English,"['Short Stories', 'Humour', 'French Literature']",https://www.gutenberg.org/ebooks/5288.txt.utf-8
5290,Tales and Novels of J. de La Fontaine — Volume 16,"La Fontaine, Jean de, 1621-1695",English,"['Short Stories', 'French Literature']",https://www.gutenberg.org/ebooks/5290.txt.utf-8
5291,Tales and Novels of J. de La Fontaine — Volume 17,"La Fontaine, Jean de, 1621-1695",English,"['Short Stories', 'Humour', 'French Literature']",https://www.gutenberg.org/ebooks/5291.txt.utf-8
5292,Tales and Novels of J. de La Fontaine — Volume 18,"La Fontaine, Jean de, 1621-1695",English,"['Short Stories', 'Humour', 'French Literature']",https://www.gutenberg.org/ebooks/5292.txt.utf-8
5293,Tales and Novels of J. de La Fontaine — Volume 19,"La Fontaine, Jean de, 1621-1695",English,"['Classics of Literature', 'Short Stories', 'Humour', 'French Literature']",https://www.gutenberg.org/ebooks/5293.txt.utf-8
5294,Tales and Novels of J. de La Fontaine — Volume 20,"La Fontaine, Jean de, 1621-1695",English,"['Short Stories', 'French Literature']",https://www.gutenberg.org/ebooks/5294.txt.utf-8
5295,Tales and Novels of J. de La Fontaine — Volume 21,"La Fontaine, Jean de, 1621-1695",English,"['Mythology, Legends & Folklore', 'Short Stories', 'Humour', 'French Literature']",https://www.gutenberg.org/ebooks/5295.txt.utf-8
5296,Tales and Novels of J. de La Fontaine — Volume 22,"La Fontaine, Jean de, 1621-1695",English,"['Short Stories', 'Humour', 'French Literature']",https://www.gutenberg.org/ebooks/5296.txt.utf-8
5297,Tales and Novels of J. de La Fontaine — Volume 23,"La Fontaine, Jean de, 1621-1695",English,"['Romance', 'Short Stories', 'Humour', 'French Literature']",https://www.gutenberg.org/ebooks/5297.txt.utf-8
5298,Tales and Novels of J. de La Fontaine — Volume 24,"La Fontaine, Jean de, 1621-1695",English,"['Short Stories', 'French Literature']",https://www.gutenberg.org/ebooks/5298.txt.utf-8
5299,Tales and Novels of J. de La Fontaine — Volume 25,"La Fontaine, Jean de, 1621-1695",English,"['Short Stories', 'Humour', 'French Literature']",https://www.gutenberg.org/ebooks/5299.txt.utf-8
5300,Tales and Novels of J. de La Fontaine — Complete,"La Fontaine, Jean de, 1621-1695",English,"['Short Stories', 'French Literature']",https://www.gutenberg.org/ebooks/5300.txt.utf-8
